統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
110年 9月,不丹,2.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2.0,－,－,9,110
110年 9月,哈薩克,3568.0,－,－,3,－,－,－,－,－,－,－,－,－,35,－,324,308,16,－,－,－,－,－,－,－,－,－,600,34,566,2132,－,398,73,1543,118,395,42,42,37.0,5,－,9,110
110年 9月,中東,442622.0,1887,1835,429,339,－,86,1099,642,457,－,486,476,33918,19162,66952,42482,13070,11400,246,259,2758,20717,17742,226,1944,479,67879,53390,14489,168567,26732,69040,21002,50478,1315,55512,6668,6617,12510.0,4951,3105,9,110
110年 9月,伊朗,9105.0,－,－,－,－,－,－,－,－,－,－,－,－,1612,114,1200,614,561,25,－,－,54,180,180,9,－,－,2372,1459,913,2334,22,1514,504,289,5,497,191,191,656.0,356,185,9,110
110年 9月,伊拉克,3557.0,3,－,4,－,－,－,－,－,－,－,－,－,69,－,614,－,95,519,－,－,－,103,103,－,86,－,812,538,274,1257,9,725,291,173,59,469,9,9,131.0,3,－,9,110
110年 9月,以色列,77228.0,－,－,7,－,－,－,273,233,40,－,10,－,7743,4028,7818,6063,925,830,22,－,745,730,350,96,281,139,7616,4372,3244,42337,16449,5409,4757,15684,38,5507,2469,2442,1435.0,144,303,9,110
110年 9月,科威特,12575.0,182,181,74,65,－,56,45,45,－,－,－,－,185,54,1884,811,920,153,36,1,88,327,259,1,18,－,2929,2519,410,2818,8,1031,948,829,2,3076,36,36,819.0,529,148,9,110
110年 9月,阿曼,5862.0,－,－,30,17,－,8,－,－,－,－,－,－,353,185,2366,2358,8,－,－,26,－,11,11,－,3,－,794,371,423,675,1,132,157,286,99,1355,40,40,201.0,84,－,9,110
110年 9月,卡達,7668.0,96,96,－,－,－,－,45,－,45,－,－,－,620,206,2885,2107,402,376,7,61,41,16,8,－,8,－,1110,901,209,965,－,410,56,474,25,1098,34,32,682.0,7,593,9,110
110年 9月,沙烏地阿拉伯,79470.0,510,510,81,71,－,－,57,57,－,－,213,213,6151,5634,10316,4680,2916,2720,43,5,285,1848,929,55,344,27,22882,20830,2052,12663,45,5612,3976,2667,363,21054,1007,1006,1929.0,1004,703,9,110
110年 9月,土耳其,117846.0,48,43,－,－,－,－,241,40,201,－,248,248,6130,1900,19714,13372,1257,5085,－,－,198,3182,2629,－,447,－,14984,11482,3502,66476,10082,40746,4175,11409,64,3867,1235,1235,1076.0,29,61,9,110
110年 9月,阿拉伯聯合大公國,103762.0,960,954,190,143,－,22,189,187,2,－,1,1,7724,4264,17304,10517,5285,1502,94,165,438,4378,3693,65,657,313,11894,8994,2900,36398,116,12247,5684,17847,504,16853,1369,1369,4748.0,2630,968,9,110
110年 9月,北美洲,6302748.0,14416,11955,15572,1651,460,1840,57171,49397,7175,－,11658,3831,191730,70667,385907,100595,210890,74422,12666,4275,25709,84533,45823,13465,39913,23429,843688,532242,311446,3443574,279610,562673,461343,2116183,23765,463758,246694,237815,422750.0,126682,223162,9,110
110年 9月,美國,5986684.0,12740,10371,12952,1512,－,1657,48034,40931,6504,－,11308,3831,182151,69495,352590,89010,197294,66286,12471,3895,23731,76857,40695,11146,38467,15453,749159,457664,291495,3365243,274481,535440,445334,2088182,21806,428959,240127,231502,399744.0,122116,208245,9,110
110年 9月,加拿大,316023.0,1676,1584,2620,139,460,183,9137,8466,671,－,350,－,9579,1172,33317,11585,13596,8136,195,380,1978,7676,5128,2319,1446,7976,94529,74578,19951,78331,5129,27233,16009,28001,1959,34799,6567,6313,22965.0,4566,14917,9,110
110年 9月,中美洲,425142.0,665,654,1333,4,－,16,1851,666,1147,－,37,35,21528,1085,39889,20215,13027,6647,96,63,1187,14546,9213,80,1361,470,72217,57763,14454,216109,38231,31836,21899,121355,2788,32765,11396,11346,9533.0,3715,2477,9,110
110年 9月,墨西哥,345156.0,－,－,113,－,－,－,173,173,－,－,4,2,8577,986,24577,13194,6802,4581,68,2,519,7422,3804,14,946,7,65971,54329,11642,199719,35411,25590,18955,119087,676,22013,9382,9354,5649.0,2666,1449,9,110
110年 9月,南美洲,233521.0,4111,4103,211,1,－,22,852,668,118,－,72,70,25824,18354,56048,39946,10957,5145,49,12,2125,10513,6868,581,1334,582,19341,12553,6788,83785,29507,26383,8471,18685,739,16286,7216,6938,4557.0,758,1276,9,110
110年 9月,巴西,114325.0,972,964,120,－,－,14,185,173,12,－,2,－,8368,4294,24486,18382,4523,1581,17,12,990,6120,4274,379,576,569,7816,4763,3053,52954,28892,8973,3497,11550,42,5650,3164,2929,1931.0,284,523,9,110
110年 9月,智利,23615.0,1,1,5,－,－,5,327,283,35,－,37,37,1002,242,4519,1142,2423,954,21,－,17,880,487,97,169,－,3246,1254,1992,7923,518,4656,942,1599,208,3442,894,892,1030.0,218,305,9,110
110年 9月,秘魯,18316.0,－,－,36,－,－,－,105,48,－,－,1,1,270,21,8592,7081,788,723,－,－,425,412,378,43,2,－,893,593,300,5128,7,3208,843,994,76,1308,767,764,334.0,42,20,9,110
110年 9月,歐洲,3197204.0,2822,2411,3035,43,3,337,15825,13413,2384,－,59830,59636,112415,35030,169504,75402,64484,29618,4535,1660,6766,33241,15456,4608,15199,7162,702745,568604,134141,1479120,343320,260817,181121,684227,9635,385923,92227,84520,100250.0,21443,45089,9,110
110年 9月,德國,600634.0,429,295,617,－,3,－,4553,4234,319,－,145,－,15023,3680,28060,10929,11581,5550,1286,198,1306,4696,2229,1421,2822,3516,66256,39177,27079,330183,125219,45530,42339,114574,2521,95077,20789,20158,24257.0,4607,11751,9,110
110年 9月,法國,131019.0,5,5,42,1,－,71,1361,848,513,－,5,5,10065,3128,8924,1459,5422,2043,364,122,348,2030,764,225,1146,336,21394,10425,10969,58135,13082,12949,9693,21976,435,14905,6196,6108,5345.0,985,1535,9,110
110年 9月,荷蘭,571494.0,17,17,1585,4,－,163,3400,2957,443,－,10,10,31681,13477,44509,27425,11440,5644,631,685,845,2573,833,605,954,266,47343,30740,16603,321126,34401,65887,22523,197891,424,87737,14499,14100,12865.0,2929,6901,9,110
110年 9月,英國,351666.0,16,16,230,12,－,－,2856,2338,518,－,2,2,4090,1142,13022,2397,8244,2381,435,342,708,6030,1697,536,1521,248,78539,58079,20460,170247,7094,20283,18227,123334,1309,41267,11009,10512,20568.0,4551,11432,9,110
110年 9月,俄羅斯,107538.0,3,3,53,1,－,－,246,232,14,－,2,－,2867,1390,8970,4877,1735,2358,23,175,218,2306,1100,447,451,－,15753,8962,6791,66099,2476,17212,13157,32408,846,4633,2366,2297,2926.0,392,925,9,110
110年 9月,奧地利,50495.0,－,－,7,－,－,－,29,29,－,－,4,4,1165,5,1864,360,1234,270,81,－,156,238,143,5,683,－,2973,1057,1916,35513,16056,5183,7104,7110,60,5041,849,843,1887.0,76,1217,9,110
110年 9月,比利時,322012.0,21,－,11,－,－,－,280,280,－,－,59594,59594,8271,3875,9805,4934,3624,1247,138,2,58,1311,785,39,1517,2,175160,170166,4994,46944,28012,6803,3552,8415,162,13170,2815,2519,2874.0,140,1649,9,110
110年 9月,匈牙利,60165.0,－,－,－,－,－,－,38,－,38,－,－,－,252,－,949,21,854,74,21,－,139,260,239,74,11,－,2550,1336,1214,49059,18310,1849,1512,27362,26,4940,1374,1353,498.0,21,55,9,110
110年 9月,義大利,230951.0,－,－,230,－,－,10,433,251,182,－,－,－,9009,2243,16714,8686,5202,2826,764,61,1189,4271,2851,297,1753,19,83830,72229,11601,64093,7374,25906,16007,14397,409,33951,7165,6941,7162.0,2548,1300,9,110
110年 9月,波蘭,105349.0,－,－,18,－,－,－,148,78,70,－,－,－,2811,93,4714,1815,2002,897,10,－,110,1369,405,81,523,－,17084,11966,5118,64719,19209,10716,10542,24010,242,7723,2898,2755,3141.0,1578,419,9,110
110年 9月,西班牙,150453.0,1270,1015,6,－,－,86,483,351,132,－,－,－,3768,2217,8673,3055,3535,2083,86,10,792,1624,1106,196,724,－,79486,75121,4365,25960,2562,11063,5730,6089,516,19752,3570,2818,3967.0,677,2255,9,110
110年 9月,瑞典,60389.0,－,－,41,25,－,－,313,313,－,－,－,－,419,69,3164,522,2147,495,183,－,189,605,138,74,95,5,15751,9665,6086,30279,13877,3546,4580,8265,11,3623,3075,3036,2573.0,709,1078,9,110
110年 9月,瑞士,67460.0,－,－,34,－,－,－,25,25,－,－,8,8,1685,506,1270,4,722,544,36,－,20,388,204,88,106,2766,16493,14445,2048,25300,3959,7211,7241,6344,545,11485,6832,2353,924.0,67,197,9,110
110年 9月,烏克蘭,14300.0,－,－,5,－,－,－,72,23,49,－,45,－,910,26,1073,685,122,266,1,－,8,328,312,－,14,－,3183,956,2227,7053,142,1971,578,4303,59,519,519,519,570.0,194,90,9,110
110年 9月,歐盟(註2),2632543.0,2367,1956,2624,30,3,330,12458,10618,1812,－,59773,59626,102559,31871,144678,67229,53532,23917,4025,1143,5732,23485,11675,3299,13086,4148,582859,481197,101662,1199893,328896,212625,140123,511938,6311,325421,71005,68336,73658.0,16037,31383,9,110
110年 9月,東歐,435066.0,6,6,132,1,－,－,1677,1467,210,－,47,－,9015,2219,23428,10953,7851,4624,314,207,803,7385,3627,676,1783,－,59316,36760,22556,268115,65364,44382,34242,121756,2371,38289,12603,12364,11270.0,3489,2584,9,110
110年 9月,非洲,223495.0,6320,6250,152,16,－,33,1218,592,626,－,60750,60720,17630,11239,31117,23053,4726,3338,53,13,1986,14394,12193,36,599,272,20144,17536,2608,48687,5206,21819,4808,15998,856,14493,2336,2281,3262.0,585,649,9,110
110年 9月,阿爾及利亞,5449.0,－,－,－,－,－,－,－,－,－,－,－,－,405,－,2030,961,908,161,－,－,－,100,100,－,17,－,276,161,115,1554,45,515,124,870,－,471,530,530,66.0,－,－,9,110
110年 9月,安哥拉,925.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,666,591,75,－,－,－,－,－,－,－,－,－,2,－,2,253,－,253,－,－,－,－,－,－,4.0,－,－,9,110
110年 9月,埃及,45783.0,239,239,－,－,－,26,43,－,43,－,－,－,10186,9158,11213,10379,664,170,－,－,874,2494,2267,－,305,－,2416,2089,327,15022,2617,3870,1315,7059,161,1919,701,701,345.0,49,19,9,110
110年 9月,南非,43130.0,2336,2279,35,13,－,－,742,285,457,－,2,2,3314,990,6749,4591,1290,868,2,12,389,3119,2567,35,46,272,5139,3582,1557,14136,600,4846,1912,6688,90,4432,725,713,1645.0,465,432,9,110
110年 9月,肯亞,14839.0,－,－,－,－,－,7,－,－,－,－,－,－,542,101,1785,1363,205,217,－,－,161,1382,1243,－,－,－,8941,8858,83,1832,－,1629,152,49,2,47,46,46,96.0,－,－,9,110
110年 9月,奈及利亞,69924.0,－,－,－,－,－,－,1,1,－,－,60717,60717,667,281,2821,926,262,1633,17,－,12,146,68,－,136,－,243,199,44,2890,10,2474,330,76,－,1973,15,15,286.0,－,9,9,110
110年 9月,大洋洲,547370.0,9798,9546,5448,169,13,292,15860,8128,1712,5603,138865,130923,23079,7366,60269,35951,16723,7595,373,202,8178,9028,2193,555,2055,41,101328,80313,21015,104628,2726,31529,16778,50536,3059,39579,7400,6923,20392.0,5737,10443,9,110
110年 9月,澳大利亞,441509.0,3750,3564,1713,138,1,121,12753,6516,581,5381,131582,123818,21128,6515,45165,26527,13290,5348,298,116,6823,6192,1592,354,1477,41,76267,58648,17619,87364,1951,23080,15098,44356,2879,23050,6500,6120,16815.0,4479,9430,9,110
110年 9月,巴布亞紐幾內亞,7144.0,3125,3125,2471,－,－,－,－,－,－,－,－,－,246,－,62,－,26,36,－,－,12,26,－,9,－,－,923,779,144,128,－,76,7,36,9,10,23,23,109.0,53,26,9,110
110年 9月,紐西蘭,62934.0,61,58,65,4,－,91,1655,1320,70,204,33,33,1568,834,11056,6539,2589,1928,75,20,936,1171,509,176,516,－,22649,19828,2821,15437,766,7714,1581,5276,100,3748,793,697,2884.0,1108,955,9,110
106年 9月,亞洲,20833789.0,131023,106052,44611,6495,6390,3785,151317,109320,23378,7939,951765,813511,1322582,668447,1331201,903205,331409,96587,42415,10648,126256,669916,554235,17462,163662,110921,1300132,670129,630003,12683210.0,9548324,1317937.0,418358,1380907,17684,204070,1339547,1327333,229266,37577,54834,9,106
106年 9月,中國大陸,8255683.0,14303,6560,16172,156,5137,1285,55340,45763,7790,1306,148794,47356,737505,467698,639139,485706,128802,24631,8677,5776,37185,161205,130918,4895,94621,15066,497996,151491,346505,4844279.0,3309304,695611.0,174108,658147,7109,44894,861434,859623,67117,7655,21056,9,106
106年 9月,香港,3852550.0,6588,4501,5797,341,892,147,26134,21965,3124,779,82910,82244,54818,2230,135952,101255,30099,4598,6026,328,8859,57153,49267,1997,20426,62797,65074,25989,39085,3004993.0,2564696,39911.0,78778,320629,979,46267,231129,224716,35155,1588,6524,9,106
106年 9月,日本,1953821.0,55873,46420,13676,5866,244,1034,6357,5161,302,587,28367,22073,118810,28846,138268,71203,52972,14093,2365,2515,11440,33439,19662,3518,23793,22113,185552,115688,69864,1111976.0,756767,140465.0,62224,147687,4833,51673,86124,83579,56928,21096,16426,9,106
106年 9月,南韓,1311672.0,4904,3008,1091,－,－,300,13145,12124,248,8,156153,148999,65514,34822,58052,18368,37433,2251,268,155,3751,10124,4504,200,10668,1857,83305,54992,28313,821981.0,666546,73932.0,10192,70768,543,10626,60458,60126,9120,912,2948,9,106
106年 9月,新南向18國(註1),5734656.0,52790,48998,8732,203,115,1172,54711,28136,12410,5234,540881,512883,363003,138060,399542,247343,95841,56358,25403,2156,72704,414467,351267,7326,15410,9247,535143,367429,167714,2979529.0,2252455,392089.0,105176,224729,5080,72509,105026,103733,74905,10653,13309,9,106
106年 9月,東協10國,5006279.0,48948,45296,7302,129,114,880,49172,23565,11763,5234,533532,512486,272103,92672,273424,156551,72525,44348,21454,1073,55551,346590,296636,6507,11464,8992,417925,286558,131367,2759185.0,2230260,296642.0,80301,148296,3686,44977,94867,93838,52333,5535,5952,9,106
106年 9月,泰國,539331.0,28499,28473,169,24,－,152,3134,1813,59,30,741,181,52991,18869,44584,17191,15403,11990,386,138,11461,28093,22653,766,2771,300,87946,51898,36048,253580.0,168710,51061.0,13049,20211,549,9742,5685,5654,8193,1283,1690,9,106
106年 9月,馬來西亞,950264.0,713,687,1230,29,20,151,7246,6283,415,－,70725,66896,40983,11613,40319,17957,9343,13019,75,113,9963,8870,5902,120,2094,1467,71944,54426,17518,661971.0,579418,38175.0,14466,29407,505,5211,19652,19382,7417,1138,982,9,106
106年 9月,印尼,249985.0,3196,2942,313,－,－,40,2011,1607,22,－,1694,1399,27320,6024,30011,18234,7018,4759,2353,144,3725,45781,40975,936,1432,6,34289,23345,10944,82207.0,11611,52629.0,8658,8855,454,7026,2396,2172,5105,809,589,9,106
106年 9月,菲律賓,768037.0,2033,2014,330,23,3,154,4557,3308,369,751,319588,313899,13762,2779,19460,8243,10148,1069,696,161,5252,17757,15885,441,676,10,48641,27545,21096,307274.0,255666,23897.0,9415,17925,371,5945,17116,17060,4184,811,654,9,106
106年 9月,新加坡,1438599.0,1566,1344,937,46,91,187,5437,3854,1312,193,128053,126735,36472,16367,19832,8308,10679,845,198,382,3979,2864,1496,444,2213,6359,23687,15109,8578,1179998.0,1085395,37717.0,14355,41507,1024,5211,13177,12917,7603,805,556,9,106
106年 9月,越南,981775.0,12904,9835,4232,－,－,195,24906,5203,9511,3964,12612,3301,97378,36942,113916,83919,18230,11767,14617,110,17028,205969,175342,3274,2188,832,146378,110582,35796,265301.0,129453,87199.0,19413,28513,723,6504,36570,36383,16861,635,1323,9,106
106年 9月,汶萊,1085.0,－,－,31,－,－,－,140,107,20,－,－,－,4,－,130,15,114,1,－,－,23,29,－,－,19,－,349,337,12,253.0,4,82.0,34,128,5,46,2,2,59,2,28,9,106
106年 9月,緬甸,19716.0,36,－,9,7,－,－,1311,1311,－,－,53,53,1344,49,2355,1564,546,245,170,－,1105,3976,3722,136,43,－,2938,2512,426,4925.0,－,2975.0,667,1252,31,298,203,203,814,8,111,9,106
106年 9月,柬埔寨,57171.0,1,1,48,－,－,1,430,79,55,296,66,22,1845,29,2817,1120,1044,653,2959,25,3015,32980,30431,388,28,18,1753,804,949,3644.0,3,2894.0,244,479,24,4994,64,63,2095,44,19,9,106
106年 9月,寮國,316.0,－,－,3,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,271,230,2,－,－,－,－,－,32.0,－,13.0,－,19,－,－,2,2,2,－,－,9,106
106年 9月,南亞,439580.0,390,267,377,1,－,133,430,179,－,－,2002,347,73141,42146,85509,69508,9457,6544,3515,801,9440,60675,52589,318,2189,93,48357,34655,13702,135208.0,20189,70148.0,11424,32982,465,4161,5160,5103,7681,733,1368,9,106
106年 9月,印度,278015.0,6,6,154,－,－,－,386,141,－,－,1400,44,55965,36836,49965,40992,6084,2889,1226,759,4508,14028,10919,139,1282,5,28734,18878,9856,108777.0,20030,50819.0,8845,28838,245,2438,4084,4036,4159,469,1119,9,106
106年 9月,巴基斯坦,39012.0,108,－,73,－,－,18,2,2,－,－,167,60,8240,3581,7049,4040,1798,1211,122,42,275,4791,2247,6,711,88,6905,6057,848,7388.0,9,4358.0,1917,1064,40,1049,628,628,1350,170,189,9,106
106年 9月,孟加拉,84331.0,15,－,19,1,－,115,42,36,－,－,113,65,7378,1181,24272,21614,927,1731,2153,－,3303,20887,18873,159,68,－,9541,7558,1983,13944.0,16,11515.0,383,1887,143,530,309,309,1483,66,27,9,106
106年 9月,斯里蘭卡,37227.0,261,261,120,－,－,－,－,－,－,－,322,178,1452,482,3962,2621,630,711,14,－,1328,20895,20476,14,128,－,3138,2133,1005,4652.0,31,3446.0,275,863,37,137,123,114,681,28,33,9,106
106年 9月,尼泊爾,972.0,－,－,11,－,－,－,－,－,－,－,－,－,106,66,261,241,18,2,－,－,26,74,74,－,－,－,39,29,10,435.0,103,8.0,4,320,－,7,5,5,8,－,－,9,106
106年 9月,不丹,23.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,12.0,－,2.0,－,10,－,－,11,11,－,－,－,9,106
106年 9月,哈薩克,3493.0,－,－,－,－,－,－,6,6,－,－,－,－,15,－,71,69,－,2,－,－,－,－,－,－,－,－,－,－,－,2874.0,61,887.0,188,1738,－,397,29,29,101,－,77,9,106
106年 9月,中東,493870.0,1988,1936,516,136,－,155,1126,868,256,－,4732,1496,33777,19298,65876,37323,15841,12712,229,771,4743,36317,29895,232,2288,74,60335,48338,11997,194987.0,49179,62564.0,21124,59041,3079,59590,8828,8687,17306,3413,4223,9,106
106年 9月,伊朗,48984.0,－,－,－,－,－,34,－,－,－,－,18,4,9743,6497,8555,4853,2558,1144,25,230,451,398,230,－,203,－,11575,9238,2337,13493.0,383,6467.0,2839,3210,594,1557,1132,1126,1570,378,947,9,106
106年 9月,伊拉克,2911.0,－,－,－,－,－,－,－,－,－,－,－,－,290,－,302,185,102,15,－,－,－,85,12,1,27,－,369,242,127,979.0,－,684.0,204,48,43,802,20,20,36,1,10,9,106
106年 9月,以色列,56887.0,－,－,8,－,－,71,259,67,192,－,36,36,2606,1056,8110,6526,1098,486,11,－,858,1696,335,32,210,8,4988,3746,1242,31118.0,11006,5844.0,3530,10588,150,3389,2305,2233,1182,75,320,9,106
106年 9月,科威特,11854.0,267,243,10,－,－,－,184,177,7,－,－,－,262,215,2467,1095,1143,229,－,91,20,280,253,－,34,－,1704,1414,290,2189.0,－,758.0,632,782,17,3990,114,114,242,50,81,9,106
106年 9月,阿曼,8450.0,15,－,20,8,－,8,14,11,3,－,－,－,536,509,977,637,189,151,－,－,101,239,239,－,6,－,281,225,56,942.0,－,357.0,374,41,170,5115,17,17,179,35,45,9,106
106年 9月,卡達,8082.0,185,185,21,21,－,－,18,18,－,－,－,－,509,133,2640,1996,351,293,－,－,69,84,－,8,－,－,1265,977,288,2314.0,－,1681.0,197,436,－,626,38,38,305,38,133,9,106
106年 9月,沙烏地阿拉伯,76367.0,536,533,38,－,－,－,80,80,－,－,358,358,4506,3361,6921,2582,2742,1597,103,10,778,2040,881,28,348,－,13932,11952,1980,15994.0,152,4346.0,3951,6490,1055,28476,878,862,1341,400,656,9,106
106年 9月,土耳其,137160.0,109,109,192,－,－,－,6,6,－,－,63,－,6995,2977,21690,13051,1966,6673,－,366,440,6025,4357,16,713,－,12981,10278,2703,80977.0,36952,29685.0,3085,11012,243,2236,3096,3088,1255,12,406,9,106
106年 9月,阿拉伯聯合大公國,92381.0,692,684,191,82,－,23,158,130,26,－,4228,1069,6514,3812,7891,3074,3955,862,88,52,1253,3698,3089,133,598,66,8998,6875,2123,42397.0,563,10815.0,5247,25290,482,9865,845,811,4691,2213,1263,9,106
106年 9月,北美洲,3519302.0,22402,18484,10466,1459,295,1610,28200,24388,3346,－,2055,7,109205,26374,255020,42495,137115,75410,4358,3980,17327,74330,37611,10126,27419,6628,543975,345756,198219,1757359.0,200191,357076.0,248192,940659,11241,322055,108297,99327,214490,69956,93356,9,106
106年 9月,美國,3308500.0,18105,14925,9286,1416,18,1303,24208,20862,2962,－,1609,6,103933,25672,234083,37792,128331,67960,4254,3832,15658,67132,32748,9270,25903,6601,493894,311855,182039,1684161.0,191479,339307.0,237854,904924,10597,298169,104906,96330,202193,65485,88626,9,106
106年 9月,加拿大,210762.0,4297,3559,1180,43,277,307,3992,3526,384,－,446,1,5272,702,20932,4703,8779,7450,104,148,1669,7198,4863,856,1516,27,50081,33901,16180,73195.0,8712,17766.0,10338,35735,644,23855,3391,2997,12296,4471,4730,9,106
106年 9月,中美洲,311864.0,731,729,1753,－,－,2,1379,447,932,－,2780,9,13221,3695,34451,18538,11520,4393,759,84,1655,15950,13120,266,1090,112,51972,38143,13829,142000.0,22364,37135.0,18092,60920,3489,27579,6776,6529,9304,2817,3988,9,106
106年 9月,墨西哥,240465.0,34,34,28,－,－,2,86,69,17,－,2367,9,11762,3486,15984,6681,7099,2204,430,36,609,9981,8118,169,617,101,45469,33666,11803,122693.0,21653,28483.0,14403,57821,333,19004,5062,4868,6031,1574,3138,9,106
106年 9月,南美洲,245077.0,1627,1613,458,4,1,20,777,558,193,－,85,31,19221,8882,43711,24736,13183,5792,116,6,2526,13824,11089,687,1459,101,25645,18820,6825,99168.0,20954,25561.0,13602,36751,2300,21646,5953,5518,8047,899,3224,9,106
106年 9月,巴西,122762.0,1012,1003,212,－,－,2,341,290,51,－,－,－,13152,7333,18600,11869,5337,1394,16,2,836,7662,7275,257,376,94,10062,7593,2469,57914.0,20511,9269.0,5170,22609,355,7357,2058,2016,2809,171,1405,9,106
106年 9月,智利,22731.0,2,－,38,－,－,10,101,94,7,－,1,1,1344,240,3767,1727,1769,271,15,1,380,1175,689,176,205,－,3431,1846,1585,7623.0,4,3441.0,1343,2353,482,2265,956,853,1241,201,433,9,106
106年 9月,秘魯,20858.0,87,87,14,－,－,－,62,－,62,－,－,－,1702,335,6119,3531,1743,845,3,－,128,955,438,4,60,－,1603,1281,322,7578.0,－,2399.0,2474,2314,391,1218,425,415,900,277,105,9,106
106年 9月,歐洲,2705746.0,2786,1773,2701,83,5,2394,14128,6183,7937,－,2477,91,93529,42511,145821,47486,67738,30597,5028,2006,7632,52106,23175,4938,16022,10052,507913,324319,183594,1342437.0,321178,273938.0,178166,556364,12791,314107,81770,75143,97899,23942,38407,9,106
106年 9月,德國,581637.0,542,292,268,21,－,－,1378,1347,31,－,333,78,14205,3764,23133,5780,10966,6387,649,628,1960,10024,4054,766,3911,3404,89265,57294,31971,327701.0,124172,61110.0,44675,93924,3820,60237,19407,17769,23826,6422,7795,9,106
106年 9月,法國,153138.0,111,94,60,－,2,27,1492,565,927,－,4,4,5646,2495,8314,1399,4796,2119,145,55,410,2559,776,349,1842,176,21084,10698,10386,85067.0,20442,16572.0,7387,40133,533,10435,7820,7523,7542,1640,2974,9,106
106年 9月,荷蘭,543666.0,298,298,1648,3,－,707,6816,1416,5400,－,214,－,24917,12508,31338,14945,9346,7047,534,374,1466,6540,3230,744,1095,248,106461,38989,67472,256482.0,43431,45187.0,27304,139446,1114,74201,17102,16510,12481,2985,7224,9,106
106年 9月,英國,350490.0,223,223,304,40,3,28,1596,942,654,－,1,1,5569,1839,20756,4859,12641,3256,677,173,934,7993,2465,697,1962,2993,55608,34847,20761,170710.0,5474,26048.0,19821,118346,1021,55061,8833,8161,16372,4206,6885,9,106
106年 9月,俄羅斯,93006.0,213,213,35,－,－,－,201,170,31,－,48,－,3176,932,5965,2907,2041,1017,16,－,1032,2146,701,115,420,－,18119,10474,7645,52619.0,4457,18178.0,9799,19370,815,4326,2033,2014,2542,973,792,9,106
106年 9月,奧地利,41217.0,14,14,2,－,－,－,62,59,3,－,－,－,2098,330,1263,739,403,121,1,9,112,150,92,182,390,－,2959,954,2005,27640.0,14432,2972.0,5767,4462,7,3824,1282,1217,1229,91,650,9,106
106年 9月,比利時,135891.0,－,－,128,－,－,－,349,275,74,－,1180,3,13425,9926,9839,3637,5026,1176,298,13,221,2842,2056,289,760,979,49980,45352,4628,31022.0,6087,11988.0,6308,6522,117,17585,4139,2694,2842,313,833,9,106
106年 9月,匈牙利,43070.0,100,－,－,－,－,－,－,－,－,－,－,－,90,16,670,50,451,169,23,－,18,198,173,－,8,－,1528,787,741,34597.0,13032,1661.0,1259,18638,7,4380,956,950,502,15,108,9,106
106年 9月,義大利,176480.0,61,－,65,－,－,－,458,203,255,－,－,－,9017,4653,12213,3360,5984,2869,676,432,379,6321,3397,520,2008,14,50502,44363,6139,55291.0,6424,27174.0,10696,10671,326,25980,6599,6515,5944,1221,2225,9,106
106年 9月,波蘭,87543.0,－,－,－,－,－,－,373,341,32,－,598,1,2316,264,3582,820,2067,695,27,－,23,1558,631,109,441,－,20207,17184,3023,46384.0,15325,5642.0,11061,13206,1150,7165,1074,1048,3686,1900,841,9,106
106年 9月,西班牙,88167.0,602,17,68,4,－,1601,259,228,23,－,－,－,4009,1720,6192,2989,1493,1710,49,161,114,2705,1714,242,1209,255,25030,20397,4633,25293.0,3325,9831.0,4947,5952,1238,14605,2790,2419,2983,542,1360,9,106
106年 9月,瑞典,54439.0,32,32,13,13,－,－,332,191,141,－,－,－,413,－,4372,719,3136,517,193,5,121,892,162,189,212,12,18547,11864,6683,19582.0,2181,5315.0,3933,8005,148,3913,2249,2191,3362,1277,1051,9,106
106年 9月,瑞士,47434.0,4,4,20,－,－,－,134,55,79,－,－,－,517,183,2209,－,1579,630,1470,－,94,611,221,377,89,1911,3048,1511,1537,26274.0,3379,7162.0,6736,8380,617,7065,2256,1207,1355,196,303,9,106
106年 9月,烏克蘭,9805.0,90,90,16,－,－,－,37,－,37,－,55,－,213,－,514,278,94,142,3,－,－,557,429,6,2,－,2942,1920,1022,4718.0,453,967.0,195,2902,201,221,107,79,324,151,48,9,106
