統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
107年 8月,瑞士,54920,－,－,12,－,－,－,106,28,78,－,－,－,779,100,2318,2,1771,545,98,5,33,379,179,117,122,4783,3274,1577,1697,24629,3149,6884,7238,6698,660,6071,11154,1574,1040,107,195,8,107
107年 8月,烏克蘭,11324,181,181,23,－,－,－,11,－,11,－,－,－,779,377,1000,595,258,147,－,－,－,123,118,18,6,－,2738,2144,594,5095,291,1429,353,2912,110,344,236,236,770,33,366,8,107
107年 8月,歐盟(註2),2121941,1952,1857,2054,22,－,914,6743,4903,1752,25,357,135,68646,27295,126903,42133,53181,31589,3326,940,5706,35825,17327,3954,12603,4890,373657,256367,117290,1062153,300656,235191,134113,383922,8271,266330,71951,67816,73037,19075,28181,8,107
107年 8月,東歐,387309,640,546,130,－,－,－,1073,811,262,－,－,－,8425,2169,22274,8090,7991,6193,145,91,748,8336,3383,611,1993,23,62495,43221,19274,224765,51157,55651,29036,86613,2308,33713,8567,8455,13280,4453,4204,8,107
107年 8月,非洲,216460,7594,7573,312,1,－,121,448,324,124,－,35723,35450,22733,11518,30527,20096,6215,4216,89,31,2637,23547,19982,139,741,98,17521,13601,3920,50944,4882,23957,6392,14661,1052,17724,2234,2166,3297,616,763,8,107
107年 8月,阿爾及利亞,10268,－,－,－,－,－,－,－,－,－,－,－,－,2548,－,1940,448,1187,305,50,－,62,83,45,－,22,－,223,44,179,3420,400,1854,706,460,－,1263,567,567,90,－,29,8,107
107年 8月,安哥拉,324,－,－,－,－,－,－,－,－,－,－,－,－,－,－,184,83,101,－,－,－,38,－,－,2,－,－,5,－,5,66,－,48,14,－,4,11,3,3,15,－,－,8,107
107年 8月,埃及,42596,215,215,175,－,－,100,－,－,－,－,－,－,10287,8430,8791,6770,753,1268,1,24,233,3467,2988,28,16,－,4103,3777,326,11562,1625,3152,1418,5111,256,2754,512,491,328,54,28,8,107
107年 8月,南非,55984,220,200,87,－,－,4,351,244,107,－,1,1,2718,586,8843,5380,1863,1600,13,4,649,5920,4920,103,183,98,6974,4584,2390,18226,1752,7127,2465,6783,99,9222,791,749,1577,360,553,8,107
107年 8月,肯亞,8357,－,－,－,－,－,－,－,－,－,－,－,－,540,246,1841,1230,571,40,－,－,281,2737,2477,－,94,－,366,261,105,2273,－,1824,163,286,－,43,19,19,163,－,6,8,107
107年 8月,奈及利亞,10729,－,－,－,－,－,－,－,－,－,－,－,－,1033,419,1339,720,279,340,－,－,500,208,160,－,90,－,2491,2431,60,3351,－,2786,324,239,2,1437,14,14,266,104,－,8,107
107年 8月,大洋洲,317090,6120,6057,1758,95,3,279,6131,4927,1058,－,5466,48,28691,4174,48457,26833,16422,5202,449,512,5602,7467,2510,415,2217,35,59147,38701,20446,88653,2812,26679,18188,39752,1222,31861,5261,5006,18569,4909,9756,8,107
107年 8月,澳大利亞,256008,3051,2991,1115,88,－,199,4228,3824,296,－,5123,15,26481,3307,38522,20635,13706,4181,416,433,4412,5510,1785,278,1331,31,45192,27302,17890,73488,1958,19315,16639,34552,1024,25210,4935,4707,16053,4121,8912,8,107
107年 8月,巴布亞紐幾內亞,925,19,19,－,－,－,－,－,－,－,－,18,18,60,50,88,23,5,60,－,－,13,9,－,7,9,－,184,182,2,454,－,327,4,101,22,40,6,6,18,－,6,8,107
107年 8月,紐西蘭,46914,3,－,521,4,3,71,573,489,59,－,24,15,1813,763,6510,3593,2067,850,32,6,899,1583,585,96,732,4,12495,10420,2075,12817,429,6211,1450,4626,101,6321,230,205,2184,684,774,8,107
110年 3月,亞洲,25846056.0,99055,81005,62159,9806,22896,9436,166435,110212,27247,11155,549913,374376,1603513,867277,1797650,1248943,366252,182455,24744,5315,133318,614448,500981,21444,166143,164411,1407399,685368,722031,17135336.0,12827911,1508359.0,498989,2282477,17600,238308,1403097,1387707,243932,45716,55906,3,110
110年 3月,中國大陸,11029854.0,24388,18631,22974,409,15281,1353,57693,36074,20828,－,176366,30068,778595,476174,852618,659052,161744,31822,4698,2229,54331,139215,110328,9052,105800,2804,593002,192272,400730,7141352.0,4875758,892733.0,230428,1137322,5111,69283,931236,925922,62865,5424,23725,3,110
110年 3月,香港,4871719.0,3898,3062,7566,452,4005,1569,25073,20391,3484,360,8451,6938,43039,1369,125475,92838,27448,5189,3899,130,7309,33996,25940,2298,17723,92345,50916,16176,34740,4184135.0,3659718,31851.0,80196,411596,774,14391,214547,208465,34959,2208,3078,3,110
110年 3月,日本,1994219.0,25373,19433,19143,7673,2984,627,13339,8607,306,766,19584,9635,133605,40148,146753,77264,56411,13078,1877,1410,6281,27148,11515,2816,20462,45200,198936,117092,81844,1141344.0,639008,151546.0,62240,281238,7312,46422,78440,76857,65459,29996,16088,3,110
110年 3月,南韓,1587878.0,8841,7800,2514,936,39,1616,13799,10703,239,1980,50723,48748,135963,94841,53615,25234,24723,3658,290,163,5936,7852,4618,210,8943,730,72246,26440,45806,1155542.0,981889,85167.0,14037,73339,1110,13725,42024,41707,13146,2092,5114,3,110
110年 3月,新南向18國(註1),6667712.0,38245,33661,11362,532,592,4418,69122,39642,2649,15087,338465,316871,534687,260302,666720,426924,105775,134021,14219,1601,65212,411263,350475,7416,14735,23301,551207,378049,173158,3579324.0,2672527,367619.0,123827,410638,4713,115554,142713,140405,78148,9762,11356,3,110
110年 3月,東協10國,5757369.0,35895,32038,8675,327,584,4152,54243,33525,2138,7980,277804,266271,396152,177112,458109,254947,86109,117053,12272,1294,52011,340827,295315,6814,11090,23228,429411,280371,149040,3365739.0,2633959,289522.0,102456,337279,2523,89553,130333,128329,59767,5653,6757,3,110
110年 3月,泰國,589387.0,20889,20483,1111,21,12,238,4252,3059,139,74,4043,171,55981,20517,63407,27477,18547,17383,206,188,7576,26291,20606,949,1872,3103,113400,67335,46065,257179.0,162367,48384.0,20779,25061,588,13379,8611,8357,6712,790,858,3,110
110年 3月,馬來西亞,1031472.0,788,475,1386,51,60,1374,9623,8190,269,－,92498,91382,43808,14983,97798,28416,6935,62447,84,51,8671,5543,2343,93,1329,4973,75621,55431,20190,651294.0,541432,30330.0,16766,62204,562,7027,20238,19850,9273,1354,989,3,110
110年 3月,印尼,262053.0,627,7,928,－,－,111,3171,2728,16,－,1343,629,44378,13102,38744,25571,8046,5127,878,219,4767,40926,35662,550,822,154,38045,23483,14562,67363.0,13987,32370.0,6687,14168,151,10952,2323,2205,5752,634,423,3,110
110年 3月,菲律賓,503686.0,3012,2998,633,2,10,159,6618,6206,281,－,37543,35760,22439,6637,21722,10252,9365,2105,733,124,4519,10865,8748,347,1018,1049,37602,20276,17326,320528.0,265531,24370.0,15225,14935,467,13978,16590,16575,4207,436,520,3,110
110年 3月,新加坡,2037906.0,941,810,1632,249,456,1432,7162,6202,762,3,131586,131475,58879,28047,30808,15277,13236,2295,117,451,3454,2357,1414,288,3257,13604,32705,19238,13467,1715494.0,1459226,83580.0,17065,155139,484,4416,20076,18887,9247,587,1199,3,110
110年 3月,越南,1245187.0,8675,7225,2814,3,－,838,21552,6749,204,6896,10730,6808,168305,93795,201199,146121,28473,26605,8847,239,18777,213856,188003,4146,2676,320,128334,92187,36147,349747.0,191234,68436.0,25557,64256,264,21110,62295,62255,20727,1726,2761,3,110
110年 3月,汶萊,1290.0,40,40,96,1,46,－,341,42,299,－,6,－,66,－,179,59,88,32,－,－,85,39,－,5,－,－,36,27,9,287.0,－,16.0,24,247,－,37,－,－,73,14,－,3,110
110年 3月,緬甸,8415.0,914,－,－,－,－,－,56,56,－,－,4,4,386,－,630,259,318,53,475,－,692,3545,3416,－,105,－,205,131,74,649.0,－,378.0,34,237,－,73,133,133,548,－,－,3,110
110年 3月,柬埔寨,77666.0,9,－,75,－,－,－,1468,293,168,1007,51,42,1910,31,3622,1515,1101,1006,932,22,3470,37112,34874,430,11,25,3463,2263,1200,3193.0,182,1655.0,319,1030,7,18581,67,67,3225,112,7,3,110
110年 3月,寮國,307.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,293,249,6,－,－,－,－,－,5.0,－,3.0,－,2,－,－,－,－,3,－,－,3,110
